,industry_code_wage,industry_title_wage,recovery_wage,peak_wage,growth_wage,growth_pcg_wage,recovery_empl,peak_empl,growth_empl,growth_pcg_empl
0,10,"Total, all industries",2010.0,827.0,72.0,8.706166868198308,2012.0,9131473.0,331532.0,3.63065192220357
1,11,"Agriculture, forestry, fishing and hunting",2010.0,537.0,117.0,21.787709497206702,2012.0,96145.0,5148.0,5.354412605959748
2,21,"Mining, quarrying, and oil and gas extraction",2013.0,948.0,101.0,10.654008438818567,2010.5,31210.0,5136.0,16.456264017942967
3,22,Utilities,2012.75,1066.0,-1066.0,-100.0,2009.25,16463.0,1008.0,6.122820871044159
4,23,Construction,2010.0,855.0,98.0,11.461988304093568,2007.25,896200.0,-137287.0,-15.31879044856059
5,31,Manufacturing,2014.0,730.0,94.0,12.876712328767123,2007.25,361767.0,-22367.0,-6.1827087600582695
6,42,Wholesale trade,2012.75,663.0,-663.0,-100.0,2007.25,630816.0,-7765.0,-1.2309453152741845
7,44,Retail trade,2010.0,480.0,65.0,13.541666666666666,2007.25,1052792.0,-8810.0,-0.8368224682558378
8,48,Transportation and warehousing,2010.0,864.0,97.0,11.226851851851851,2013.0,223739.0,9027.0,4.034611757449529
9,51,Information,2010.0,537.0,54.0,10.05586592178771,2014.25,147176.0,6369.0,4.327471870413654
10,52,Finance and insurance,2011.75,1152.0,154.0,13.368055555555555,2007.25,494505.0,-18632.0,-3.767808212252657
11,53,Real estate and rental and leasing,2010.5,406.0,-91.0,-22.413793103448278,2007.25,378147.0,-13685.0,-3.618962995871976
12,54,Professional and technical services,2010.0,986.0,138.0,13.995943204868155,2010.0,1013576.0,121482.0,11.985485054894749
13,55,Management of companies and enterprises,2011.25,2203.0,-40.0,-1.8157058556513845,2009.25,51348.0,9159.0,17.837111474643606
14,56,Administrative and waste services,2009.75,421.0,259.0,61.520190023752974,2011.0,470050.0,34342.0,7.306031273268801
15,61,Educational services,2009.5,769.0,56.0,7.282184655396619,2009.5,90250.0,19208.0,21.283102493074793
16,62,Health care and social assistance,2010.0,883.0,63.0,7.134767836919592,2009.25,766175.0,621250.0,81.08460860769407
17,71,"Arts, entertainment, and recreation",2010.0,558.0,32.0,5.734767025089606,2012.75,126487.0,7802.0,6.168222821317606
18,72,Accommodation and food services,2011.75,322.0,4.0,1.2422360248447204,2009.75,614014.0,50635.0,8.24655463881931
19,81,"Other services, except public administration",2010.0,581.0,107.0,18.416523235800344,2009.75,1227257.0,-407687.0,-33.219366440769946
20,92,Public administration,2010.0,924.0,93.0,10.064935064935066,2009.25,59585.0,984.0,1.6514223378367037
21,99,Unclassified,2014.25,745.0,-76.0,-10.201342281879194,2007.25,212291.0,-5640.0,-2.6567306197624956
22,101,Goods-producing,2010.0,849.0,99.0,11.66077738515901,2007.25,1383417.0,-147465.0,-10.659475776284374
23,102,Service-providing,2010.0,823.0,76.0,9.234507897934387,2011.0,7477529.0,455620.0,6.093189341024288
24,111,Crop production,2007.25,0.0,0.0,,2009.75,42513.0,4078.0,9.592359984004894
25,112,Animal production and aquaculture,2010.0,608.0,118.0,19.407894736842106,2009.75,22550.0,1752.0,7.76940133037694
26,113,Forestry and logging,2007.25,0.0,0.0,,2007.25,11251.0,-2106.0,-18.718336147897965
27,114,"Fishing, hunting and trapping",2007.25,726.0,-726.0,-100.0,2015.0,2543.0,9.0,0.3539127015336217
28,115,Agriculture and forestry support activities,2010.0,471.0,119.0,25.265392781316347,2012.5,17765.0,938.0,5.280045032367013
